transaction_id,customer_id,Store_id,transaction_date,total_amount,Customer_phone
TXN_0000001,960.0,4,2025-10-26 14:09:00,1355.3,2604721037314
TXN_0000002,,8,2025-12-01 19:45:00,2578.45,6644349573203
TXN_0000003,689.0,4,2025-11-25 14:36:00,2464.46,9118042644831
TXN_0000004,,5,2025-07-16 17:37:00,6085.79,8146045207645
TXN_0000005,551.0,7,2025-08-08 13:24:00,2948.13,7330664455312
TXN_0000006,262.0,7,2025-11-20 17:08:00,1465.19,3130295337724
TXN_0000007,275.0,2,2025-11-15 20:53:00,1226.58,0975782684596
TXN_0000008,,6,2025-09-16 09:13:00,494.12,5269664202645
TXN_0000009,938.0,4,2025-12-26 18:45:00,2924.34,6525418342362
TXN_0000010,268.0,7,2025-10-28 17:41:00,863.94,1856917948308
TXN_0000011,577.0,6,2025-08-22 14:20:00,1095.52,1297702071278
TXN_0000012,157.0,9,2025-11-27 18:46:00,1601.76,2332711796675
TXN_0000013,782.0,8,2025-11-18 19:43:00,1255.75,2811071042721
TXN_0000014,,9,2025-11-03 11:58:00,285.21,1062271221532
TXN_0000015,141.0,2,2025-12-19 09:48:00,1690.97,9484202554403
TXN_0000016,13.0,8,2025-07-05 09:34:00,855.63,0674995390651
TXN_0000017,,9,2025-09-12 09:32:00,626.01,9315068159876
TXN_0000018,363.0,4,2025-08-19 18:33:00,1674.11,8162351914494
TXN_0000019,,4,2025-09-15 19:52:00,5090.87,7022325332258
TXN_0000020,580.0,2,2025-11-05 15:41:00,285.21,2441023967184
TXN_0000021,278.0,4,2025-08-24 20:56:00,1051.74,3062319457450
TXN_0000022,871.0,9,2025-11-22 19:02:00,1526.16,5334114306924
TXN_0000023,855.0,2,2025-09-15 11:36:00,1645.75,9466560933863
TXN_0000024,,1,2025-07-26 15:14:00,5294.17,4134435274225
TXN_0000025,677.0,9,2025-10-05 15:11:00,1748.83,5675521540973
TXN_0000026,6.0,3,2025-10-08 14:23:00,1374.69,0416191154044
TXN_0000027,525.0,2,2025-08-17 15:28:00,1237.99,3553954752750
TXN_0000028,87.0,7,2025-07-04 13:26:00,4016.31,2887141882954
TXN_0000029,307.0,3,2025-07-17 11:27:00,1607.04,9197830707863
TXN_0000030,406.0,8,2025-07-28 11:19:00,2363.5,5809320534283
TXN_0000031,712.0,10,2025-08-04 13:20:00,1688.1,2362312320676
